Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
2025-04-21,12:55:00,CNR7875725,Success,157811,Prime Sedan,Area 40,Area 32,7.13,7.29,0,,0,,0,,597.62,15.46,4.5,4.8
2025-04-22,05:40:00,CNR2159408,Success,361522,Prime SUV,Area 11,Area 32,2.02,7.69,0,,0,,0,,205.72,13.69,3.8,4.3
2025-04-03,08:21:00,CNR9578259,Incomplete,910106,Mini,Area 39,Area 44,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-30,09:33:00,CNR9091370,Incomplete,598491,Auto,Area 3,Area 47,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-02,01:31:00,CNR3874642,Cancelled by Customer,917840,Prime Plus,Area 31,Area 35,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-04-05,10:28:00,CNR5298242,Cancelled by Driver,441730,eBike,Area 18,Area 13,,,0,,1,More than permitted people in there,0,,,,,
2025-04-16,08:11:00,CNR8372569,Cancelled by Driver,637892,Bike,Area 42,Area 28,,,0,,1,The customer was coughing/sick,0,,,,,
2025-04-06,12:00:00,CNR7677896,Success,772714,Prime Sedan,Area 12,Area 46,9.9,4.62,0,,0,,0,,991.61,9.35,4.8,3.1
2025-04-10,06:05:00,CNR2767221,Success,597065,Auto,Area 50,Area 7,8.45,8.08,0,,0,,0,,393.42,4.92,3.3,4.7
2025-04-14,18:13:00,CNR4767968,Success,978314,Prime Plus,Area 35,Area 27,4.4,9.94,0,,0,,0,,792.69,22.21,4.7,5
2025-04-12,05:11:00,CNR1132716,Other,124283,Prime Plus,Area 3,Area 23,,,0,,0,,0,,,,,
2025-04-29,04:17:00,CNR9567042,Success,325420,Prime SUV,Area 42,Area 26,4.68,11.15,0,,0,,0,,304.2,10.55,3.1,4.2
2025-04-30,08:21:00,CNR4056928,Success,298209,Prime Sedan,Area 21,Area 28,5.44,11.27,0,,0,,0,,603,4.9,4.1,4
2025-04-10,15:13:00,CNR4214278,Success,375021,Bike,Area 14,Area 11,4.38,8.36,0,,0,,0,,598,18.58,4.8,4.3
2025-04-18,12:51:00,CNR9627750,Success,438241,Auto,Area 23,Area 28,8.46,4.2,0,,0,,0,,109.33,19.78,3.4,5
2025-04-21,01:28:00,CNR7294941,Incomplete,186949,Prime SUV,Area 19,Area 32,,,0,,0,,1,Other Issue,,,,
2025-04-10,13:21:00,CNR0760871,Success,239851,Bike,Area 36,Area 37,2.35,9.16,0,,0,,0,,109.05,10.81,3.1,3.5
2025-04-23,18:08:00,CNR0590626,Success,857865,Prime Plus,Area 22,Area 11,4.6,5.88,0,,0,,0,,99.02,6.36,4.2,3.2
2025-04-19,22:12:00,CNR1834610,Cancelled by Driver,513750,Prime SUV,Area 47,Area 45,,,0,,1,Customer related issue,0,,,,,
2025-04-23,12:39:00,CNR1825949,Success,866052,eBike,Area 11,Area 39,3.12,6.46,0,,0,,0,,595.19,21.57,3.1,4.1
2025-04-16,09:32:00,CNR9468559,Success,536478,Mini,Area 37,Area 25,7.31,8.91,0,,0,,0,,300.76,6.62,3.6,3.2
2025-04-29,18:05:00,CNR2271363,Cancelled by Driver,730054,Prime SUV,Area 33,Area 50,,,0,,1,More than permitted people in there,0,,,,,
2025-04-20,02:14:00,CNR7126467,Success,312081,eBike,Area 25,Area 34,2.77,8.15,0,,0,,0,,1194.82,14.16,4.6,3.4
2025-04-22,02:26:00,CNR7027589,Success,754690,Prime Plus,Area 32,Area 23,4.06,7.12,0,,0,,0,,196.45,13.78,4.5,3.2
2025-04-15,15:59:00,CNR3825208,Other,258065,Bike,Area 3,Area 1,,,0,,0,,0,,,,,
2025-04-05,18:34:00,CNR7994539,Success,649322,Mini,Area 3,Area 47,9.78,6.91,0,,0,,0,,804.57,9.07,3.7,4.3
2025-04-26,11:08:00,CNR4122636,Success,822723,Prime SUV,Area 50,Area 31,5.47,11.41,0,,0,,0,,703.19,4.67,4.4,3.7
2025-04-13,09:21:00,CNR2366961,Success,173330,Prime SUV,Area 36,Area 23,8.83,10.35,0,,0,,0,,1203.47,24.62,3.9,4
2025-04-17,09:30:00,CNR2121212,Cancelled by Driver,611997,Mini,Area 15,Area 45,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-28,09:18:00,CNR8990619,Success,340110,eBike,Area 29,Area 48,4.8,7.14,0,,0,,0,,296.75,19.25,4.3,3.2
2025-04-25,20:09:00,CNR1742647,Success,266750,Mini,Area 27,Area 20,9.55,8.44,0,,0,,0,,290.44,6.6,4.7,4.9
2025-04-10,06:13:00,CNR8429074,Success,430652,Bike,Area 21,Area 37,6.17,11.6,0,,0,,0,,93.69,1.52,3.4,3.3
2025-04-14,05:38:00,CNR2850658,Success,266971,Bike,Area 15,Area 26,4.08,7.21,0,,0,,0,,190.04,7.26,4.2,4.8
2025-04-25,22:54:00,CNR3164657,Success,606692,Auto,Area 22,Area 31,8.43,5.09,0,,0,,0,,301.47,10.22,3.6,3
2025-04-17,11:48:00,CNR2000063,Success,590091,Bike,Area 22,Area 37,8.66,4.79,0,,0,,0,,107.24,10.78,4,3.5
2025-04-15,23:32:00,CNR4578232,Success,710567,eBike,Area 3,Area 26,6.33,8.46,0,,0,,0,,92.83,10.9,3.9,4.5
2025-04-17,12:42:00,CNR6134889,Success,755437,Bike,Area 7,Area 4,4.89,5.55,0,,0,,0,,105.08,9.99,3.9,3.6
2025-04-14,03:24:00,CNR1803976,Success,635092,Auto,Area 13,Area 19,9.48,11.36,0,,0,,0,,96.54,20.79,3.7,4.7
2025-04-20,12:18:00,CNR5702211,Cancelled by Driver,419845,Auto,Area 31,Area 2,,,0,,1,More than permitted people in there,0,,,,,
2025-04-10,04:45:00,CNR8054382,Success,673122,Auto,Area 29,Area 1,9.01,8.93,0,,0,,0,,609.76,14.65,3.7,4.5
2025-04-17,03:47:00,CNR6934088,Success,724699,Auto,Area 6,Area 20,8.88,10.03,0,,0,,0,,397.88,19.34,3.3,5
2025-04-19,04:42:00,CNR9631250,Success,744022,Auto,Area 3,Area 44,5.13,7.41,0,,0,,0,,1009.14,19.54,5,3.2
2025-04-11,10:23:00,CNR4736475,Cancelled by Customer,513880,Bike,Area 7,Area 30,,,1,Change of plans,0,,0,,,,,
2025-04-28,20:17:00,CNR9421676,Success,133698,Bike,Area 11,Area 46,9.43,9.07,0,,0,,0,,95.57,15.23,3.7,4.4
2025-04-14,10:13:00,CNR2550528,Success,682120,Auto,Area 17,Area 48,3.33,5.56,0,,0,,0,,90.49,1.69,3.9,3.6
2025-04-15,05:58:00,CNR3923970,Success,320509,Prime Sedan,Area 36,Area 12,7.52,5.27,0,,0,,0,,1190.69,17.67,3.1,4.4
2025-04-17,22:38:00,CNR8043108,Other,253854,eBike,Area 37,Area 12,,,0,,0,,0,,,,,
2025-04-04,01:56:00,CNR4410609,Success,886187,eBike,Area 47,Area 29,7.44,10.84,0,,0,,0,,300.75,9.99,3.6,4.2
2025-04-01,01:07:00,CNR0019096,Cancelled by Customer,856674,Prime Sedan,Area 36,Area 4,,,1,Change of plans,0,,0,,,,,
2025-04-28,04:37:00,CNR5082223,Success,216983,eBike,Area 20,Area 9,4.09,6.99,0,,0,,0,,1208.58,23.29,4.4,4.4
2025-04-12,19:41:00,CNR4446057,Other,832176,Prime SUV,Area 19,Area 49,,,0,,0,,0,,,,,
2025-04-01,11:32:00,CNR5954974,Success,801512,Bike,Area 3,Area 14,6.12,6.71,0,,0,,0,,297.75,3.77,3.4,3.4
